title,address,description,date,seller,price,image
3 bedroom end of terrace house for sale,"Canterbury Close, Erdington","**THIS 3 BEDROOM SEMI-DETACHED FAMILY HOME IS PERFECT FOR YOUR FIRST PURCHASE**
THIS FAMILY HOME CONSISTS OF; 3 BEDROOMS, 1 ENSUITE, LARGE RECEPTION ROOM, FITTED KITCHEN, FAMILY BATHROOM SUITE, DOWNSTAIRS W.C AND GARAGE. PROPERTY IS LEASEHOLD.
EPC RATING: C
CALL NOW ON TO BOOK YOUR ...",29/11/2019,"Martin & Co, Sutton Coldfield - Lettings & Sales","£197,999",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82622/75890536/82622_100556002767_IMG_01_0000_max_476x317.jpg
4 bedroom semi-detached house for sale,"Weoley Park Road, Selly Oak, Birmingham, B29 6QZ",A sizeable and perfectly positioned 4 bedroom semi-detached property on the ever popular Weoley Park Road. This well maintained home occupies a prime position on the best part of the road with private...,18/08/2019,"Wentworth & Rose , Harborne","£475,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92029/84081095/92029_514777_IMG_02_0000_max_476x317.jpg
3 bedroom semi-detached house for sale,"Middle Park Road, Bournville Village Trust, Sellly Oak, Birmingham, B29",A BEAUTIFULLY presented THREE bedroom semi detached residence of immense CHARM and CHARACTER enjoying PRIME location on the Bournville Village Trust estate with DELIGHTFUL VIEW over Bowling Green and the Trust to the rear. EP rating D ,11/09/2019,"Robert Oulsnam & Company, Northfield","£475,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22310/74856901/22310_NOR190112_IMG_01_0000_max_476x317.JPG
8 bedroom end of terrace house for sale,"Dawlish Road, Selly Oak, Birmingham, West Midlands, B29","Must view to appreciate the space on offer with this extended student investment property that can sleep eight students. An income of £35,360 for the 2019/2020 and fully let out for £85pppw exluding bills. The ground floor offers three bedrooms, bathroom, lounge and kitchen. The first...",18/10/2018,"Dixons, Selly Oak","£475,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/33/76490816/33_SOA180433_IMG_01_0000_max_476x317.jpg
5 bedroom semi-detached house for sale,"Poppy Lane, Erdington/ Wylde Green Border, Birmingham","An immaculate & characterful 5 bed semi-detached offering no upward chain. Set on a good sized plot having garage & large driveway, porch, hall, lounge, dining room, open plan dining kitchen family room, master bedroom with dressing room & en-suite, 2nd bedroom with en-suite. Landscaped rear garden.",13/09/2019,"Connells, B'ham North - Sutton Coldfield","£475,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1601/74146408/1601_SCO307347_IMG_10_0000_max_476x317.JPG
5 bedroom terraced house for sale,"Margaret Road, Harborne","Spacious terraced property in excellent location just off Harborne High Street and having the benefit of off road parking. This Victorian property set over three storeys has five bedrooms, two with en-suite, family bathroom, spacious breakfast kitchen, sun room plus many original features ",12/08/2019,"Englands Estate Agents, Harborne","£475,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15170/83957459/15170_101624006219_IMG_01_0000_max_476x317.jpg
2 bedroom lodge for sale,"Richmond Hill Road, Edgbaston, Birmingham",This stunning conversion is situated on Richmond Hill Road and surrounded by some of Birmingham’s most prestigious housing. The Mansion House also lies within Edgbaston’s upmarket Conservation Area - yet the attractions and amenities of the area are all on the doorstep,10/12/2019,"haart, Harborne","£475,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109400/87365801/109400_0364_HRT036402514_IMG_01_0000_max_476x317.jpg
1 bedroom apartment for sale,"Apt 4, No.101 Bath Street, Birmingham City Centre","**Help To Buy Available** A unique one bedroom penthouse apartment, the 'pièce de résistance' in No.101 Bath street. Totalling over 1200sq ft, an open plan kitchen/living/dining/sitting area is complimented by spacious bedroom and ensuite. Complete with secure gated parking space. ",06/09/2019,"James Laurence Sales and Lettings, Birmingham","£470,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10499/74004808/10499_102857003150_IMG_07_0000_max_476x317.jpg
4 bedroom detached house for sale,"Barnard Close, Rednal, Birmingham, B45 9SZ","A well presented four bedroom detached residence, built by Redrow, offered with two modern en suite bathrooms, family bathroom, a modern kitchen/diner/orangery extension and a delightful landscaped rear garden, situated in Rednal, Birmingham",26/11/2019,"Arden Estates, Rubery","£469,950",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/136k/135974/83279078/135974_101055008175_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,"Barnard Close, Rubery, Birmingham, B45","A BEAUTIFULLY PRESENTED EXTENDED MODERN DETACHED FAMILY HOME SITUATED IN A MUCH SOUGHT AFTER LOCATION Benefitting From Having Lounge, Open Plan Kitchen/Dining/Orangery, Study/Bedroom To Ground Floor And Four Good Sized Bedrooms, Two Shower En-Suites, Family Bathroom, Driveway For Several Vehicles...",26/11/2019,"Robert Oulsnam & Company, Rubery","£469,950",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34610/65841798/34610_RUB190187_IMG_01_0000_max_476x317.JPG
