title,address,description,date,seller,price,image
1 bedroom apartment for sale,"Princes House, Slough",**BRAND NEW ONE BEDROOM APARTMENT IN PRINCES HOUSE AVAILABLE NOW** *HELP TO BUY* Martin & Co Slough are pleased to present this brand new one bedroom apartment located in extremely close proximity to Slough Station (Crossrail) and Slough High Street. The apartment offer amazing quality throu...,22/10/2019,"Martin & Co, Slough - Lettings & Sales","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80945/72829270/80945_100705001754_IMG_01_0000_max_476x317.jpg
2 bedroom flat for sale,"Slough,Berkshire,SL1",Chancellors offer to the market this fantastic two double bedroom apartment. The property has a secure entry phone system and 90 years left on the lea,26/06/2019,"Chancellors, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/82560788/145253_3110130_IMG_02_0000_max_476x317.jpg
2 bedroom ground maisonette for sale,"Canterbury Avenue, Slough, Berkshire","Tenure: Leasehold THE PROPERTY This maisonette welcomes you with a personal front door, leading to an inner hallway offering open access to a bedroom/study. A large lounge is in excess of 13ft, well-presented with light neutral decor. A fitted kitchen offers a good range of units, with free stan...",today,"Cameron King, Cippenham","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52364/67156263/52364_29343477_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Osborne Mews, Victoria Street, Slough, SL1","A one bedroom first floor apartment situated within walking distance of Slough Town Centre and station (Crossrail due 2021). The property has the added attractions of a renewed lease, residents permit parking, a refitted kitchen and shower room. An ideal investment purchase or first time buy.",11/12/2019,"The Frost Partnership, Slough","£179,950",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8831/66991584/8831_369957_IMG_01_0000_max_476x317.jpg
1 bedroom apartment for sale,"Clarence Court, 580-588 London Road, Langley, Berkshire","Modern one bedroom first floor apartment built in 2007 and offered to the market in IMMACULATE CONDITION with 113 YEAR LEASE, can achieve £850 PCM, 22ft kitchen/living room area, shower room, allocated parking, good access to Heathrow/M4.",06/11/2019,"Oakwood Estates, Langley","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215192/86339216/215192_4806591_IMG_01_0000_max_476x317.jpg
1 bedroom maisonette for sale,"Slough,Berkshire,SL2",This one bedroom maisonette is situated only 0.3 miles from Slough mainline station. Benefits from private rear garden and off street parking.,05/08/2019,"Chancellors, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/83769653/145253_3133059_IMG_01_0000_max_476x317.jpg
2 bedroom park home for sale,"Orchards Residential Park, Slough, SL3","Situated in the highly popular Orchards Residential Park, exclusively for the over 45's, this two bedroom park home must be viewed to be appreciated. The accommodation has been well-maintained by the current owner and comprises of an entrance hall leading to master bedroom with fitted wa...",10/12/2019,"Hilton King & Locke, Iver","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6006/66952308/6006_16646700_IMG_01_0000_max_476x317.jpg
1 bedroom maisonette for sale,"Telford Drive, Windsor Meadows, Cippenham","Having been the subject of a complete refurbishment by the current vendor, this property now offers unparalleled internal accommodation is conveniently located within an established residential setting with superb access to both local amenities and transport links. The property comprises of (cont.)",06/06/2019,"Staples & King, Cippenham","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7711/71518003/7711_STA1004858_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"219 Bath Road, Slough, Berkshire","The Express Estate Agency is proud to offer this One Bedroom Studio Flat – all interest and OFFERS are INVITED. *Guide Price - £200,000 - £220,000* INTERNAL Kitchen Lounge - Open plan room. Fitted wall and base units with complimentary worktops...",16/12/2019,"Express Estate Agency, Nationwide","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61544/76163488/61544_4817330_IMG_01_0000_max_476x317.jpg
1 bedroom maisonette for sale,"Slough,Berkshire,SL1",A one bedroom maisonette situated with easy access to Slough town centre and mainline station. Ideal for first time buyers and investors.,05/08/2019,"Chancellors, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/83769635/145253_3134263_IMG_01_0000_max_476x317.jpg
